ID,,Phone
CB_Phone_ID_1,,8.61993E+12
CB_Phone_ID_2,,+86+8615028179902    15028179902
CB_Phone_ID_3,,+86-19937530512    0371-55170693
CB_Phone_ID_4,,+undefined    21-51877795
CB_Phone_ID_5,,+86    0371-86658258
CB_Phone_ID_6,,+86+86-15508631887    531-+86-531-88989536
CB_Phone_ID_7,,-19930503110
CB_Phone_ID_8,,+86+8613650506873    023-+86-023-61398051
CB_Phone_ID_9,,8.61852E+12
CB_Phone_ID_10,,+86    519-+86-519-519-85557386
CB_Phone_ID_11,,-13806087608
CB_Phone_ID_12,,8.61337E+12
CB_Phone_ID_13,,0086 189 4982 3763    0551-0551-65418671
CB_Phone_ID_14,,8.61526E+12
CB_Phone_ID_15,,+8617705817739    571-88938639
CB_Phone_ID_16,,+8618126314766    86-18838029171
CB_Phone_ID_17,,8.61597E+12
CB_Phone_ID_18,,+@undefined17701845089
CB_Phone_ID_19,,8.61794E+12
CB_Phone_ID_20,,+86    852-30606658
CB_Phone_ID_21,,8.61562E+12
CB_Phone_ID_22,,+86+86-85511178    0371-+86-85511178
CB_Phone_ID_23,,-5.8968E+11
CB_Phone_ID_24,,+8618058761490    0571-86217390
CB_Phone_ID_25,,+undefined19851887368    0518-86098006
CB_Phone_ID_26,,8.61527E+12
CB_Phone_ID_27,,#NAME?
CB_Phone_ID_28,,+86    571-571-89925085
CB_Phone_ID_29,,+86    371-66670886
CB_Phone_ID_30,,+8617736933208    0086-1773693
CB_Phone_ID_31,,+8618030271905    86-05926210733
CB_Phone_ID_32,,+8615800370750    021-36680027
CB_Phone_ID_33,,   +86-21-58447131
CB_Phone_ID_34,,   +86-21-2022 2982
CB_Phone_ID_35,,   +86-371- 55366292
CB_Phone_ID_36,,   +86-0371-87507775
CB_Phone_ID_37,,+8613605431940    86-13605431940
CB_Phone_ID_38,,   86-579-82660891
CB_Phone_ID_39,,   0086-311-66600578
CB_Phone_ID_40,,   0731-85567275
CB_Phone_ID_41,,   +86-25-83697070
CB_Phone_ID_42,,   +86 21 34123252
CB_Phone_ID_43,,   0512-81664689
CB_Phone_ID_44,,+8613817537615    021-57171705
CB_Phone_ID_45,,+8618501659228    21-58090396
CB_Phone_ID_46,,+8615221909166    400-1647117
CB_Phone_ID_47,,18805314509    0531-0531-88581623
CB_Phone_ID_48,,+8619130631884    028-028-86136736
CB_Phone_ID_49,,18618313080    010-010-5710845
CB_Phone_ID_50,,8.61865E+12
CB_Phone_ID_51,,13917602471    021-021-60345187
CB_Phone_ID_52,,18605286750    0519-0519-82610098
CB_Phone_ID_53,,8.61532E+12
CB_Phone_ID_54,,+8613545340383    027-027-83855389
CB_Phone_ID_55,,15715199582    021-021-00000000
CB_Phone_ID_56,,8.61863E+12
CB_Phone_ID_57,,+8613407122916    027-027-83855385
CB_Phone_ID_58,,+8613317178958    027-83295551
CB_Phone_ID_59,,13520537277
CB_Phone_ID_60,,   4008-755-333
CB_Phone_ID_61,,18067926518
CB_Phone_ID_62,,   86 0755 27148450
CB_Phone_ID_63,,   86-21-52418058 34619399
CB_Phone_ID_64,,   027-85353562
CB_Phone_ID_65,,13901492119
CB_Phone_ID_66,,   0728-6703368
CB_Phone_ID_67,,"   0570-3066667,3062509,13819002126"
CB_Phone_ID_68,,   0798-6702168
CB_Phone_ID_69,,   0531-89702887 62318870 13290107390
CB_Phone_ID_70,,   0519-82859934
CB_Phone_ID_71,,18663730567    0531-88073798
CB_Phone_ID_72,,   86-0519-86806770 86806771
CB_Phone_ID_73,,15603338676    0335-763-6678
CB_Phone_ID_74,,   025-58740787
CB_Phone_ID_75,,   027-83855385
CB_Phone_ID_76,,   0519-85556579
CB_Phone_ID_77,,18627885956    0573-0573-85285100
CB_Phone_ID_78,,   +86-21-50677091
CB_Phone_ID_79,,   +86-519-82553398 82553818
CB_Phone_ID_80,,   0519-88865202
CB_Phone_ID_81,,   0512-88819360
CB_Phone_ID_82,,13046003282    0531-0531-87586188
CB_Phone_ID_83,,18019463053    021-58581007
CB_Phone_ID_84,,+8618507139096    0185-0185-0185-07139096
CB_Phone_ID_85,,13260682861
CB_Phone_ID_86,,+8618971353902    027-027-18971353-902
CB_Phone_ID_87,,18120580375    027-027-83850375
CB_Phone_ID_88,,+8617002132182    021-021-59178156
CB_Phone_ID_89,,+8618971318572    027-83261126
CB_Phone_ID_90,,+8618551496367    0513-66017706
CB_Phone_ID_91,,+8618627096350    186-27096350
CB_Phone_ID_92,,+8618162699093    027-027-59223056
CB_Phone_ID_93,,13256107535
CB_Phone_ID_94,,+8618662931292    021-80159919
CB_Phone_ID_95,,+8618171045381    027-83855381
CB_Phone_ID_96,,+8613380397412    0755-0755-0755-83725350
CB_Phone_ID_97,,8.61534E+12
CB_Phone_ID_98,,8.61982E+12
CB_Phone_ID_99,,+8613571859809    029-029-86018689
CB_Phone_ID_100,,8.61395E+12
CB_Phone_ID_101,,8.61736E+12
CB_Phone_ID_102,,+86+86-15387063101    027-+86-027-59232304
CB_Phone_ID_103,,8.61972E+12
CB_Phone_ID_104,,8.61555E+12
CB_Phone_ID_105,,+8615271852016    027-83855396
CB_Phone_ID_106,,+8618162687220    18162687220
CB_Phone_ID_107,,8.61313E+12
CB_Phone_ID_108,,8.61531E+12
CB_Phone_ID_109,,13348960310    13348960310
CB_Phone_ID_110,,+8617801761073    010-50973185
CB_Phone_ID_111,,8.6158E+12
CB_Phone_ID_112,,8.61333E+12
CB_Phone_ID_113,,+8615370960812    150-61735421
CB_Phone_ID_114,,+8613564487020    021-13564487020
CB_Phone_ID_115,,+8618591971926    029-18591971926
CB_Phone_ID_116,,8.61806E+12
CB_Phone_ID_117,,8.61593E+12
CB_Phone_ID_118,,13764598896
CB_Phone_ID_119,,+8613316968096    0755-22202135
CB_Phone_ID_120,,+8615827396479    027-83855392
CB_Phone_ID_121,,+8618917919676    021-54306202
CB_Phone_ID_122,,8.61372E+12
